ain't	am not
aren't	are not
can't	cannot
could've	could have
couldn't	could not
couldn't've	could not have
didn't	did not
doesn't	does not
don't	do not
hadn't	had not
hadn't've	had not have
hasn't	has not
haven't	have not
he'd	he would
he'd've	he would have
he'll	he will
he's	he is
how'd	how would
how'll	how will
how's	how is
I'd	I would
I'd've	I would have
I'll	I will
I'm	I am
I've	I have
isn't	is not
it'd	it would
it'd've	it would have
it'll	it will
it's	it is
let's	let us
ma'am	madam
mightn't	might not
mightn't've	might not have
might've	might have
mustn't	must not
must've	must have
needn't	need not
not've	not have
o'clock	of the clock
oughtn't	ought not
'ow's'at	how is that
shan't	shall not
she'd	she would
she'd've	she would have
she'll	she will
she's	she is
should've	should have
shouldn't	should not
shouldn't've	should not have
that'll	that will
that's	that is
there'd	there would
there'd've	there would have
there're	there are
there's	there is
they'd	they would
they'd've	they would have
they'll	they will
they're	they are
they've	they have
wasn't	was not
we'd	we would
we'd've	we would have
we'll	we will
we're	we are
we've	we have
weren't	were not
what'll	what will
what're	what are
what's	what is
what've	what have
when's	when is
where'd	where did
where's	where is
where've	where have
who'd	who would
who'd've	who would have
who'll	who will
who're	who are
who's	who is
who've	who have
why'll	why will
why're	why are
why's	why is
won't	will not
would've	would have
wouldn't	would not
wouldn't've	would not have
y'all	you all
y'all'd've	you all would have
you'd	you would
you'd've	you would have
you'll	you will
you're	you are
you've	you have
